,Estacion_x,Estacion_y,Distancia
1942,Formosa aero,Laboulaye aero,1008
1943,Formosa aero,Laquiaca obs.,876
1944,Formosa aero,Las brenas,301
1945,Formosa aero,Las lomitas,290
1946,Formosa aero,Malargue aero,1493
1947,Formosa aero,Manfredi,823
1948,Formosa aero,Mar del plata aero,1304
1949,Formosa aero,Marcos juarez,811
1950,Formosa aero,Marcos juarez aero,813
1951,Formosa aero,Mendoza aero,1258
1952,Formosa aero,Mendoza observatorio,1268
1953,Formosa aero,Mercedad (ctes),329
1954,Formosa aero,Monte caseros aero,455
1955,Formosa aero,Neuquen aero,1691
1956,Formosa aero,Oliveros,749
1957,Formosa aero,Oran aero,703
1958,Formosa aero,Parana,15870
1959,Formosa aero,Parana aero,657
1960,Formosa aero,Paso de los libres aero,401
1961,Formosa aero,Pehuajo aero,1125
1962,Formosa aero,Pergamino,886
1963,Formosa aero,Pigue aero,1326
1964,Formosa aero,Pilar obs.,819
1965,Formosa aero,Posadas aero,259
1966,Formosa aero,Punta indio b.a.,1011
1967,Formosa aero,Rafaela,640
1968,Formosa aero,Reconquista,360
1969,Formosa aero,Reconquista aero,362
1970,Formosa aero,Resistencia aero,159
1971,Formosa aero,Rio cuarto aero,961
1972,Formosa aero,Roque saenz pena,232
1973,Formosa aero,Rosario aero,785
1974,Formosa aero,Salta aero,743
1975,Formosa aero,San juan,1137
1976,Formosa aero,San juan aero,1156
1977,Formosa aero,San luis aero,1108
1978,Formosa aero,San martin (mza),1248
1979,Formosa aero,San miguel,927
1980,Formosa aero,San pedro,842
1981,Formosa aero,San rafael aero,1347
1982,Formosa aero,Santa rosa aero,1288
1983,Formosa aero,Santiago del estero aero,625
1984,Formosa aero,Sauce viejo aero,661
1985,Formosa aero,Tandil aero,1230
1986,Formosa aero,Tinogasta,947
1987,Formosa aero,Tres arroyos,1368
1988,Formosa aero,Unr-zavalla,799
1989,Formosa aero,Villa dolores aero,926
1990,Formosa aero,Villa mercedes,1087
1991,Formosa aero,Villa reynolds aero,1081
1992,General pico aero,9 de julio,261
1993,General pico aero,Aeroparque aero,502
1994,General pico aero,Anguil,92
1995,General pico aero,Bahia blanca aero,365
1996,General pico aero,Balcarce,537
1997,General pico aero,Barrow,427
1998,General pico aero,Bella vista,926
1999,General pico aero,Bordenave,249
2000,General pico aero,Buenos aires,495
2001,General pico aero,Castelar,6044
2002,General pico aero,Catamarca aero,811
2003,General pico aero,Ceres aero,669
2004,General pico aero,Cerro azul,1190
2005,General pico aero,Colonia benitez,1026
2006,General pico aero,Conc. del uruguay,5859
2007,General pico aero,Concordia aero,723
2008,General pico aero,Cordoba aero,488
2009,General pico aero,Cordoba observatorio,476
2010,General pico aero,Coronel suarez aero,257
2011,General pico aero,Corrientes aero,1031
2012,General pico aero,Dolores aero,547
2013,General pico aero,Ezeiza aero,483
2014,General pico aero,Famailla,973
2015,General pico aero,Formosa aero,1178
2016,General pico aero,General pico aero,0
2017,General pico aero,Gualeguaychu aero,558
2018,General pico aero,Hilario ascasubi,422
2019,General pico aero,Iguazu aero,1417
2020,General pico aero,Jujuy aero,1264
2021,General pico aero,Junin aero,286
2022,General pico aero,La consulta,536
2023,General pico aero,La plata aero,538
2024,General pico aero,La rioja aero,756
2025,General pico aero,Laboulaye aero,177
2026,General pico aero,Laquiaca obs.,1521
2027,General pico aero,Las brenas,987
2028,General pico aero,Las lomitas,1259
2029,General pico aero,Malargue aero,526
2030,General pico aero,Manfredi,430
2031,General pico aero,Mar del plata aero,603
2032,General pico aero,Marcos juarez,367
2033,General pico aero,Marcos juarez aero,365
2034,General pico aero,Mendoza aero,561
2035,General pico aero,Mendoza observatorio,563
2036,General pico aero,Mercedad (ctes),902
2037,General pico aero,Monte caseros aero,829
2038,General pico aero,Neuquen aero,530
2039,General pico aero,Oliveros,440
2040,General pico aero,Oran aero,1395
2041,General pico aero,Parana,14759
2042,General pico aero,Parana aero,529
2043,General pico aero,Paso de los libres aero,909
2044,General pico aero,Pehuajo aero,172
2045,General pico aero,Pergamino,352
2046,General pico aero,Pigue aero,245
2047,General pico aero,Pilar obs.,446
2048,General pico aero,Posadas aero,1180
2049,General pico aero,Punta indio b.a.,591
2050,General pico aero,Rafaela,541
2051,General pico aero,Reconquista,817
2052,General pico aero,Reconquista aero,816
2053,General pico aero,Resistencia aero,1019
2054,General pico aero,Rio cuarto aero,292
2055,General pico aero,Roque saenz pena,1029
2056,General pico aero,Rosario aero,412
2057,General pico aero,Salta aero,1217
2058,General pico aero,San juan,639
2059,General pico aero,San juan aero,629
2060,General pico aero,San luis aero,358
2061,General pico aero,San martin (mza),520
2062,General pico aero,San miguel,475
2063,General pico aero,San pedro,434
2064,General pico aero,San rafael aero,439
2065,General pico aero,Santa rosa aero,110
2066,General pico aero,Santiago del estero aero,883
2067,General pico aero,Sauce viejo aero,519
2068,General pico aero,Tandil aero,439
2069,General pico aero,Tinogasta,923
2070,General pico aero,Tres arroyos,427
2071,General pico aero,Unr-zavalla,397
2072,General pico aero,Villa dolores aero,435
2073,General pico aero,Villa mercedes,269
2074,General pico aero,Villa reynolds aero,263
2075,Gualeguaychu aero,9 de julio,341
2076,Gualeguaychu aero,Aeroparque aero,173
2077,Gualeguaychu aero,Anguil,625
2078,Gualeguaychu aero,Bahia blanca aero,710
2079,Gualeguaychu aero,Balcarce,527
2080,Gualeguaychu aero,Barrow,608
2081,Gualeguaychu aero,Bella vista,510
2082,Gualeguaychu aero,Bordenave,670
2083,Gualeguaychu aero,Buenos aires,176
2084,Gualeguaychu aero,Castelar,5819
2085,Gualeguaychu aero,Catamarca aero,840
2086,Gualeguaychu aero,Ceres aero,470
2087,Gualeguaychu aero,Cerro azul,669
2088,Gualeguaychu aero,Colonia benitez,622
2089,Gualeguaychu aero,Conc. del uruguay,6146
2090,Gualeguaychu aero,Concordia aero,198
2091,Gualeguaychu aero,Cordoba aero,559
2092,Gualeguaychu aero,Cordoba observatorio,554
2093,Gualeguaychu aero,Coronel suarez aero,576
2094,Gualeguaychu aero,Corrientes aero,618
2095,Gualeguaychu aero,Dolores aero,376
2096,Gualeguaychu aero,Ezeiza aero,200
2097,Gualeguaychu aero,Famailla,931
2098,Gualeguaychu aero,Formosa aero,757
2099,Gualeguaychu aero,General pico aero,558
2100,Gualeguaychu aero,Gualeguaychu aero,0
2101,Gualeguaychu aero,Hilario ascasubi,794
2102,Gualeguaychu aero,Iguazu aero,902
2103,Gualeguaychu aero,Jujuy aero,1148
2104,Gualeguaychu aero,Junin aero,274
2105,Gualeguaychu aero,La consulta,978
2106,Gualeguaychu aero,La plata aero,227
2107,Gualeguaychu aero,La rioja aero,876
2108,Gualeguaychu aero,Laboulaye aero,457
2109,Gualeguaychu aero,Laquiaca obs.,1394
2110,Gualeguaychu aero,Las brenas,699
2111,Gualeguaychu aero,Las lomitas,943
2112,Gualeguaychu aero,Malargue aero,1044
2113,Gualeguaychu aero,Manfredi,502
2114,Gualeguaychu aero,Mar del plata aero,554
2115,Gualeguaychu aero,Marcos juarez,329
2116,Gualeguaychu aero,Marcos juarez aero,332
2117,Gualeguaychu aero,Mendoza aero,950
2118,Gualeguaychu aero,Mendoza observatorio,957
2119,Gualeguaychu aero,Mercedad (ctes),430
2120,Gualeguaychu aero,Monte caseros aero,318
2121,Gualeguaychu aero,Neuquen aero,1081
2122,Gualeguaychu aero,Oliveros,215
2123,Gualeguaychu aero,Oran aero,1231
2124,Gualeguaychu aero,Parana,15113
2125,Gualeguaychu aero,Parana aero,221
2126,Gualeguaychu aero,Paso de los libres aero,394
2127,Gualeguaychu aero,Pehuajo aero,433
2128,Gualeguaychu aero,Pergamino,206
2129,Gualeguaychu aero,Pigue aero,615
2130,Gualeguaychu aero,Pilar obs.,516
2131,Gualeguaychu aero,Posadas aero,674
2132,Gualeguaychu aero,Punta indio b.a.,280
2133,Gualeguaychu aero,Rafaela,343
2134,Gualeguaychu aero,Reconquista,438
2135,Gualeguaychu aero,Reconquista aero,435
2136,Gualeguaychu aero,Resistencia aero,620
2137,Gualeguaychu aero,Rio cuarto aero,527
2138,Gualeguaychu aero,Roque saenz pena,705
2139,Gualeguaychu aero,Rosario aero,202
2140,Gualeguaychu aero,Salta aero,1127
2141,Gualeguaychu aero,San juan,931
2142,Gualeguaychu aero,San juan aero,935
2143,Gualeguaychu aero,San luis aero,721
2144,Gualeguaychu aero,San martin (mza),918
2145,Gualeguaychu aero,San miguel,170
2146,Gualeguaychu aero,San pedro,124
2147,Gualeguaychu aero,San rafael aero,921
2148,Gualeguaychu aero,Santa rosa aero,652
2149,Gualeguaychu aero,Santiago del estero aero,798
2150,Gualeguaychu aero,Sauce viejo aero,252
2151,Gualeguaychu aero,Tandil aero,473
2152,Gualeguaychu aero,Tinogasta,1020
2153,Gualeguaychu aero,Tres arroyos,618
2154,Gualeguaychu aero,Unr-zavalla,211
2155,Gualeguaychu aero,Villa dolores aero,624
2156,Gualeguaychu aero,Villa mercedes,642
2157,Gualeguaychu aero,Villa reynolds aero,632
2158,Hilario ascasubi,9 de julio,464
2159,Hilario ascasubi,Aeroparque aero,653
2160,Hilario ascasubi,Anguil,341
2161,Hilario ascasubi,Bahia blanca aero,83
2162,Hilario ascasubi,Balcarce,416
2163,Hilario ascasubi,Barrow,236
2164,Hilario ascasubi,Bella vista,1264
2165,Hilario ascasubi,Bordenave,173
2166,Hilario ascasubi,Buenos aires,647
2167,Hilario ascasubi,Castelar,5739
2168,Hilario ascasubi,Catamarca aero,1233
2169,Hilario ascasubi,Ceres aero,1059
2170,Hilario ascasubi,Cerro azul,1463
2171,Hilario ascasubi,Colonia benitez,1372
2172,Hilario ascasubi,Conc. del uruguay,5446
2173,Hilario ascasubi,Concordia aero,990
2174,Hilario ascasubi,Cordoba aero,908
2175,Hilario ascasubi,Cordoba observatorio,896
2176,Hilario ascasubi,Coronel suarez aero,223
2177,Hilario ascasubi,Corrientes aero,1373
2178,Hilario ascasubi,Dolores aero,548
2179,Hilario ascasubi,Ezeiza aero,623
2180,Hilario ascasubi,Famailla,1395
2181,Hilario ascasubi,Formosa aero,1520
2182,Hilario ascasubi,General pico aero,422
2183,Hilario ascasubi,Gualeguaychu aero,794
2184,Hilario ascasubi,Hilario ascasubi,0
2185,Hilario ascasubi,Iguazu aero,1696
2186,Hilario ascasubi,Jujuy aero,1683
2187,Hilario ascasubi,Junin aero,557
2188,Hilario ascasubi,La consulta,854
2189,Hilario ascasubi,La plata aero,644
2190,Hilario ascasubi,La rioja aero,1175
2191,Hilario ascasubi,Laboulaye aero,587
2192,Hilario ascasubi,Laquiaca obs.,1942
2193,Hilario ascasubi,Las brenas,1372
2194,Hilario ascasubi,Las lomitas,1643
2195,Hilario ascasubi,Malargue aero,751
2196,Hilario ascasubi,Manfredi,847
2197,Hilario ascasubi,Mar del plata aero,466
2198,Hilario ascasubi,Marcos juarez,746
2199,Hilario ascasubi,Marcos juarez aero,746
2200,Hilario ascasubi,Mendoza aero,915
2201,Hilario ascasubi,Mendoza observatorio,913
2202,Hilario ascasubi,Mercedad (ctes),1210
2203,Hilario ascasubi,Monte caseros aero,1109
2204,Hilario ascasubi,Neuquen aero,478
2205,Hilario ascasubi,Oliveros,775
2206,Hilario ascasubi,Oran aero,1811
2207,Hilario ascasubi,Parana,14371
2208,Hilario ascasubi,Parana aero,865
2209,Hilario ascasubi,Paso de los libres aero,1187
2210,Hilario ascasubi,Pehuajo aero,399
2211,Hilario ascasubi,Pergamino,633
2212,Hilario ascasubi,Pigue aero,197
2213,Hilario ascasubi,Pilar obs.,863
2214,Hilario ascasubi,Posadas aero,1468
2215,Hilario ascasubi,Punta indio b.a.,658
2216,Hilario ascasubi,Rafaela,916
2217,Hilario ascasubi,Reconquista,1165
2218,Hilario ascasubi,Reconquista aero,1163
2219,Hilario ascasubi,Resistencia aero,1368
2220,Hilario ascasubi,Rio cuarto aero,714
2221,Hilario ascasubi,Roque saenz pena,1405
2222,Hilario ascasubi,Rosario aero,737
2223,Hilario ascasubi,Salta aero,1638
2224,Hilario ascasubi,San juan,1029
2225,Hilario ascasubi,San juan aero,1014
2226,Hilario ascasubi,San luis aero,756
2227,Hilario ascasubi,San martin (mza),874
2228,Hilario ascasubi,San miguel,639
2229,Hilario ascasubi,San pedro,685
2230,Hilario ascasubi,San rafael aero,739
2231,Hilario ascasubi,Santa rosa aero,342
2232,Hilario ascasubi,Santiago del estero aero,1301
2233,Hilario ascasubi,Sauce viejo aero,868
2234,Hilario ascasubi,Tandil aero,378
2235,Hilario ascasubi,Tinogasta,1341
2236,Hilario ascasubi,Tres arroyos,226
2237,Hilario ascasubi,Unr-zavalla,724
2238,Hilario ascasubi,Villa dolores aero,857
2239,Hilario ascasubi,Villa mercedes,679
2240,Hilario ascasubi,Villa reynolds aero,675
2241,Iguazu aero,9 de julio,1240
2242,Iguazu aero,Aeroparque aero,1051
2243,Iguazu aero,Anguil,1498
2244,Iguazu aero,Bahia blanca aero,1613
2245,Iguazu aero,Balcarce,1384
2246,Iguazu aero,Barrow,1501
2247,Iguazu aero,Bella vista,532
2248,Iguazu aero,Bordenave,1569
2249,Iguazu aero,Buenos aires,1057
2250,Iguazu aero,Castelar,5975
2251,Iguazu aero,Catamarca aero,1158
2252,Iguazu aero,Ceres aero,865
2253,Iguazu aero,Cerro azul,233
2254,Iguazu aero,Colonia benitez,480
2255,Iguazu aero,Conc. del uruguay,6947
2256,Iguazu aero,Concordia aero,708
2257,Iguazu aero,Cordoba aero,1134
2258,Iguazu aero,Cordoba observatorio,1139
2259,Iguazu aero,Coronel suarez aero,1478
2260,Iguazu aero,Corrientes aero,466
2261,Iguazu aero,Dolores aero,1217
2262,Iguazu aero,Ezeiza aero,1082
2263,Iguazu aero,Famailla,1099
2264,Iguazu aero,Formosa aero,378
2265,Iguazu aero,General pico aero,1417
2266,Iguazu aero,Gualeguaychu aero,902
2267,Iguazu aero,Hilario ascasubi,1696
2268,Iguazu aero,Iguazu aero,0
2269,Iguazu aero,Jujuy aero,1078
2270,Iguazu aero,Junin aero,1159
2271,Iguazu aero,La consulta,1667
2272,Iguazu aero,La plata aero,1078
2273,Iguazu aero,La rioja aero,1278
2274,Iguazu aero,Laboulaye aero,1265
2275,Iguazu aero,Laquiaca obs.,1199
2276,Iguazu aero,Las brenas,676
2277,Iguazu aero,Las lomitas,625
2278,Iguazu aero,Malargue aero,1802
2279,Iguazu aero,Manfredi,1129
2280,Iguazu aero,Mar del plata aero,1387
2281,Iguazu aero,Marcos juarez,1070
2282,Iguazu aero,Marcos juarez aero,1072
2283,Iguazu aero,Mendoza aero,1595
2284,Iguazu aero,Mendoza observatorio,1604
2285,Iguazu aero,Mercedad (ctes),517
2286,Iguazu aero,Monte caseros aero,592
2287,Iguazu aero,Neuquen aero,1946
2288,Iguazu aero,Oliveros,978
2289,Iguazu aero,Oran aero,1037
2290,Iguazu aero,Parana,15927
2291,Iguazu aero,Parana aero,891
2292,Iguazu aero,Paso de los libres aero,512
2293,Iguazu aero,Pehuajo aero,1325
2294,Iguazu aero,Pergamino,1083
2295,Iguazu aero,Pigue aero,1516
2296,Iguazu aero,Pilar obs.,1129
2297,Iguazu aero,Posadas aero,236
2298,Iguazu aero,Punta indio b.a.,1093
2299,Iguazu aero,Rafaela,918
2300,Iguazu aero,Reconquista,642
2301,Iguazu aero,Reconquista aero,642
2302,Iguazu aero,Resistencia aero,492
2303,Iguazu aero,Rio cuarto aero,1251
2304,Iguazu aero,Roque saenz pena,608
2305,Iguazu aero,Rosario aero,1005
2306,Iguazu aero,Salta aero,1110
2307,Iguazu aero,San juan,1488
2308,Iguazu aero,San juan aero,1505
2309,Iguazu aero,San luis aero,1420
2310,Iguazu aero,San martin (mza),1580
2311,Iguazu aero,San miguel,1060
2312,Iguazu aero,San pedro,1016
2313,Iguazu aero,San rafael aero,1658
2314,Iguazu aero,Santa rosa aero,1523
2315,Iguazu aero,Santiago del estero aero,1000
2316,Iguazu aero,Sauce viejo aero,906
2317,Iguazu aero,Tandil aero,1356
2318,Iguazu aero,Tinogasta,1323
2319,Iguazu aero,Tres arroyos,1510
2320,Iguazu aero,Unr-zavalla,1020
2321,Iguazu aero,Villa dolores aero,1247
2322,Iguazu aero,Villa mercedes,1383
2323,Iguazu aero,Villa reynolds aero,1375
2324,Jujuy aero,9 de julio,1294
2325,Jujuy aero,Aeroparque aero,1302
2326,Jujuy aero,Anguil,1351
2327,Jujuy aero,Bahia blanca aero,1618
2328,Jujuy aero,Balcarce,1619
2329,Jujuy aero,Barrow,1616
2330,Jujuy aero,Bella vista,761
2331,Jujuy aero,Bordenave,1510
2332,Jujuy aero,Buenos aires,1302
2333,Jujuy aero,Castelar,6901
2334,Jujuy aero,Catamarca aero,472
2335,Jujuy aero,Ceres aero,685
2336,Jujuy aero,Cerro azul,1031
2337,Jujuy aero,Colonia benitez,702
2338,Jujuy aero,Conc. del uruguay,7119
2339,Jujuy aero,Concordia aero,1037
2340,Jujuy aero,Cordoba aero,775
2341,Jujuy aero,Cordoba observatorio,787
2342,Jujuy aero,Coronel suarez aero,1484
2343,Jujuy aero,Corrientes aero,719
2344,Jujuy aero,Dolores aero,1502
2345,Jujuy aero,Ezeiza aero,1320
2346,Jujuy aero,Famailla,298
2347,Jujuy aero,Formosa aero,718
2348,Jujuy aero,General pico aero,1264
2349,Jujuy aero,Gualeguaychu aero,1148
2350,Jujuy aero,Hilario ascasubi,1683
2351,Jujuy aero,Iguazu aero,1078
2352,Jujuy aero,Jujuy aero,0
2353,Jujuy aero,Junin aero,1200
2354,Jujuy aero,La consulta,1110
2355,Jujuy aero,La plata aero,1366
2356,Jujuy aero,La rioja aero,580
2357,Jujuy aero,Laboulaye aero,1097
2358,Jujuy aero,Laquiaca obs.,258
2359,Jujuy aero,Las brenas,501
2360,Jujuy aero,Las lomitas,456
2361,Jujuy aero,Malargue aero,1307
2362,Jujuy aero,Manfredi,837
2363,Jujuy aero,Mar del plata aero,1666
2364,Jujuy aero,Marcos juarez,967
2365,Jujuy aero,Marcos juarez aero,966
2366,Jujuy aero,Mendoza aero,1006
2367,Jujuy aero,Mendoza observatorio,1015
2368,Jujuy aero,Mercedad (ctes),880
2369,Jujuy aero,Monte caseros aero,984
2370,Jujuy aero,Neuquen aero,1645
2371,Jujuy aero,Oliveros,998
2372,Jujuy aero,Oran aero,157
2373,Jujuy aero,Parana,15959
2374,Jujuy aero,Parana aero,939
2375,Jujuy aero,Paso de los libres aero,982
2376,Jujuy aero,Pehuajo aero,1311
2377,Jujuy aero,Pergamino,1149
2378,Jujuy aero,Pigue aero,1493
2379,Jujuy aero,Pilar obs.,820
2380,Jujuy aero,Posadas aero,971
2381,Jujuy aero,Punta indio b.a.,1426
2382,Jujuy aero,Rafaela,832
2383,Jujuy aero,Reconquista,755
2384,Jujuy aero,Reconquista aero,757
2385,Jujuy aero,Resistencia aero,693
2386,Jujuy aero,Rio cuarto aero,971
2387,Jujuy aero,Roque saenz pena,541
2388,Jujuy aero,Rosario aero,1038
2389,Jujuy aero,Salta aero,64
2390,Jujuy aero,San juan,839
2391,Jujuy aero,San juan aero,863
2392,Jujuy aero,San luis aero,996
2393,Jujuy aero,San martin (mza),1021
2394,Jujuy aero,San miguel,1286
2395,Jujuy aero,San pedro,1159
2396,Jujuy aero,San rafael aero,1179
2397,Jujuy aero,Santa rosa aero,1359
2398,Jujuy aero,Santiago del estero aero,384
2399,Jujuy aero,Sauce viejo aero,916
2400,Jujuy aero,Tandil aero,1534
2401,Jujuy aero,Tinogasta,476
2402,Jujuy aero,Tres arroyos,1621
2403,Jujuy aero,Unr-zavalla,1044
2404,Jujuy aero,Villa dolores aero,841
2405,Jujuy aero,Villa mercedes,1039
2406,Jujuy aero,Villa reynolds aero,1038
2407,Junin aero,9 de julio,99
2408,Junin aero,Aeroparque aero,230
2409,Junin aero,Anguil,350
2410,Junin aero,Bahia blanca aero,476
2411,Junin aero,Balcarce,427
2412,Junin aero,Barrow,423
2413,Junin aero,Bella vista,706
2414,Junin aero,Bordenave,412
2415,Junin aero,Buenos aires,224
2416,Junin aero,Castelar,5900
2417,Junin aero,Catamarca aero,804
2418,Junin aero,Ceres aero,528
2419,Junin aero,Cerro azul,928
2420,Junin aero,Colonia benitez,815
2421,Junin aero,Conc. del uruguay,5979
2422,Junin aero,Concordia aero,453
2423,Junin aero,Cordoba aero,472
2424,Junin aero,Cordoba observatorio,462
2425,Junin aero,Coronel suarez aero,333
2426,Junin aero,Corrientes aero,816
2427,Junin aero,Dolores aero,351
2428,Junin aero,Ezeiza aero,220
2429,Junin aero,Famailla,937
2430,Junin aero,Formosa aero,962
2431,Junin aero,General pico aero,286
2432,Junin aero,Gualeguaychu aero,274
2433,Junin aero,Hilario ascasubi,557
2434,Junin aero,Iguazu aero,1159
2435,Junin aero,Jujuy aero,1200
2436,Junin aero,Junin aero,0
2437,Junin aero,La consulta,759
2438,Junin aero,La plata aero,281
2439,Junin aero,La rioja aero,797
2440,Junin aero,Laboulaye aero,227
2441,Junin aero,Laquiaca obs.,1457
2442,Junin aero,Las brenas,828
2443,Junin aero,Las lomitas,1095
2444,Junin aero,Malargue aero,794
2445,Junin aero,Manfredi,402
2446,Junin aero,Mar del plata aero,481
2447,Junin aero,Marcos juarez,235
2448,Junin aero,Marcos juarez aero,236
2449,Junin aero,Mendoza aero,752
2450,Junin aero,Mendoza observatorio,756
2451,Junin aero,Mercedad (ctes),658
2452,Junin aero,Monte caseros aero,567
2453,Junin aero,Neuquen aero,807
2454,Junin aero,Oliveros,222
2455,Junin aero,Oran aero,1309
2456,Junin aero,Parana,14923
2457,Junin aero,Parana aero,309
2458,Junin aero,Paso de los libres aero,646
2459,Junin aero,Pehuajo aero,166
2460,Junin aero,Pergamino,77
2461,Junin aero,Pigue aero,364
2462,Junin aero,Pilar obs.,421
2463,Junin aero,Posadas aero,925
2464,Junin aero,Punta indio b.a.,344
2465,Junin aero,Rafaela,379
2466,Junin aero,Reconquista,608
2467,Junin aero,Reconquista aero,606
2468,Junin aero,Resistencia aero,810
2469,Junin aero,Rio cuarto aero,348
2470,Junin aero,Roque saenz pena,855
2471,Junin aero,Rosario aero,181
2472,Junin aero,Salta aero,1165
2473,Junin aero,San juan,774
2474,Junin aero,San juan aero,772
2475,Junin aero,San luis aero,519
2476,Junin aero,San martin (mza),715
2477,Junin aero,San miguel,202
2478,Junin aero,San pedro,150
2479,Junin aero,San rafael aero,683
2480,Junin aero,Santa rosa aero,378
2481,Junin aero,Santiago del estero aero,820
2482,Junin aero,Sauce viejo aero,315
2483,Junin aero,Tandil aero,335
2484,Junin aero,Tinogasta,960
2485,Junin aero,Tres arroyos,430
2486,Junin aero,Unr-zavalla,170
2487,Junin aero,Villa dolores aero,487
2488,Junin aero,Villa mercedes,428
2489,Junin aero,Villa reynolds aero,418
2490,La consulta,9 de julio,777
2491,La consulta,Aeroparque aero,989
2492,La consulta,Anguil,559
2493,La consulta,Bahia blanca aero,835
2494,La consulta,Balcarce,1073
2495,La consulta,Barrow,946
2496,La consulta,Bella vista,1135
2497,La consulta,Bordenave,715
2498,La consulta,Buenos aires,983
2499,La consulta,Castelar,6570
2500,La consulta,Catamarca aero,655
2501,La consulta,Ceres aero,803
2502,La consulta,Cerro azul,1471
2503,La consulta,Colonia benitez,1200
2504,La consulta,Conc. del uruguay,6090
2505,La consulta,Concordia aero,1076
2506,La consulta,Cordoba aero,533
2507,La consulta,Cordoba observatorio,527
2508,La consulta,Coronel suarez aero,773
2509,La consulta,Corrientes aero,1211
2510,La consulta,Dolores aero,1076
2511,La consulta,Ezeiza aero,979
2512,La consulta,Famailla,823
2513,La consulta,Formosa aero,1340
2514,La consulta,General pico aero,536
2515,La consulta,Gualeguaychu aero,978
2516,La consulta,Hilario ascasubi,854
2517,La consulta,Iguazu aero,1667
2518,La consulta,Jujuy aero,1110
2519,La consulta,Junin aero,759
2520,La consulta,La consulta,0
2521,La consulta,La plata aero,1039
2522,La consulta,La rioja aero,531
2523,La consulta,Laboulaye aero,533
2524,La consulta,Laquiaca obs.,1338
2525,La consulta,Las brenas,1064
2526,La consulta,Las lomitas,1300
2527,La consulta,Malargue aero,199
2528,La consulta,Manfredi,543
2529,La consulta,Mar del plata aero,1139
2530,La consulta,Marcos juarez,661
2531,La consulta,Marcos juarez aero,658
2532,La consulta,Mendoza aero,104
2533,La consulta,Mendoza observatorio,96
2534,La consulta,Mercedad (ctes),1167
2535,La consulta,Monte caseros aero,1148
2536,La consulta,Neuquen aero,587
2537,La consulta,Oliveros,780
2538,La consulta,Oran aero,1265
2539,La consulta,Parana,14851
2540,La consulta,Parana aero,835
2541,La consulta,Paso de los libres aero,1217
2542,La consulta,Pehuajo aero,703
2543,La consulta,Pergamino,791
2544,La consulta,Pigue aero,745
2545,La consulta,Pilar obs.,540
2546,La consulta,Posadas aero,1441
2547,La consulta,Punta indio b.a.,1100
2548,La consulta,Rafaela,764
2549,La consulta,Reconquista,1026
2550,La consulta,Reconquista aero,1025
2551,La consulta,Resistencia aero,1189
2552,La consulta,Rio cuarto aero,455
2553,La consulta,Roque saenz pena,1128
2554,La consulta,Rosario aero,779
2555,La consulta,Salta aero,1049
2556,La consulta,San juan,272
2557,La consulta,San juan aero,248
2558,La consulta,San luis aero,261
2559,La consulta,San martin (mza),94
2560,La consulta,San miguel,960
2561,La consulta,San pedro,872
2562,La consulta,San rafael aero,116
2563,La consulta,Santa rosa aero,542
2564,La consulta,Santiago del estero aero,807
2565,La consulta,Sauce viejo aero,808
2566,La consulta,Tandil aero,975
2567,La consulta,Tinogasta,649
2568,La consulta,Tres arroyos,944
2569,La consulta,Unr-zavalla,768
2570,La consulta,Villa dolores aero,420
2571,La consulta,Villa mercedes,336
2572,La consulta,Villa reynolds aero,346
2573,La plata aero,9 de julio,276
2574,La plata aero,Aeroparque aero,65
2575,La plata aero,Anguil,575
2576,La plata aero,Bahia blanca aero,563
2577,La plata aero,Balcarce,311
2578,La plata aero,Barrow,427
2579,La plata aero,Bella vista,733
2580,La plata aero,Bordenave,559
2581,La plata aero,Buenos aires,68
2582,La plata aero,Castelar,5643
2583,La plata aero,Catamarca aero,1026
2584,La plata aero,Ceres aero,682
2585,La plata aero,Cerro azul,846
2586,La plata aero,Colonia benitez,845
2587,La plata aero,Conc. del uruguay,5926
2588,La plata aero,Concordia aero,408
2589,La plata aero,Cordoba aero,715
2590,La plata aero,Cordoba observatorio,707
2591,La plata aero,Coronel suarez aero,452
2592,La plata aero,Corrientes aero,840
2593,La plata aero,Dolores aero,150
2594,La plata aero,Ezeiza aero,61
2595,La plata aero,Famailla,1135
2596,La plata aero,Formosa aero,974
2597,La plata aero,General pico aero,538
2598,La plata aero,Gualeguaychu aero,227
2599,La plata aero,Hilario ascasubi,644
2600,La plata aero,Iguazu aero,1078
2601,La plata aero,Jujuy aero,1366
2602,La plata aero,Junin aero,281
2603,La plata aero,La consulta,1039
2604,La plata aero,La plata aero,0
2605,La plata aero,La rioja aero,1042
2606,La plata aero,Laboulaye aero,509
2607,La plata aero,Laquiaca obs.,1615
2608,La plata aero,Las brenas,926
2609,La plata aero,Las lomitas,1171
2610,La plata aero,Malargue aero,1062
2611,La plata aero,Manfredi,648
2612,La plata aero,Mar del plata aero,330
2613,La plata aero,Marcos juarez,466
2614,La plata aero,Marcos juarez aero,468
2615,La plata aero,Mendoza aero,1034
2616,La plata aero,Mendoza observatorio,1038
2617,La plata aero,Mercedad (ctes),645
2618,La plata aero,Monte caseros aero,523
2619,La plata aero,Neuquen aero,1011
2620,La plata aero,Oliveros,383
2621,La plata aero,Oran aero,1454
2622,La plata aero,Parana,14899
2623,La plata aero,Parana aero,427
2624,La plata aero,Paso de los libres aero,591
2625,La plata aero,Pehuajo aero,372
